"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"(주)필코아","정수기(비데/이온수기용) 필터 생산직원 모집","(15085)  경기도 시흥시 산기대학로 60, 1나402호 (정왕동, 시화공단) (정왕동, 시화공단)","15085 경기도 시흥시 산기대학로 60, 1나402호 (정왕동, 시화공단) (정왕동, 시화공단)","시급10,320원 이상 ~ 10,320원 이하,","평일 : A조 : 06시~14시  B조 : 14시~22시  C조 : 22시~익일06시, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","전기·전자 분야 단순 종사원(890005)","액체 여과기 제조업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","정수기/비데용 필터 제조   3조3교대 근무 가능자","서류,면접","고용24","이력서","","031-433-3988","평일 : A조 : 06시~14시  B조 : 14시~22시  C조 : 22시~익일06시, 주 5일 근무"
"씨제이프레시웨이주식회사","아난티가평 직원식당 메인 조리원 모집","(12472)  경기도 가평군 유명로 1007-90, 직원식당","17099 경기도 용인시 기흥구 기곡로 32 (하갈동)","시급13,000원 이상,","평일 : 직무내용 참고, 주 5일 근무","기간의 정함이 있는 근로계약12 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망","주방 보조원(532300)","기타 신선식품 및 단순 가공식품 도매업","관계없음","학력무관","","26-08-05","채용시까지  26-10-02","","● 근무형태 - CJ프레시웨이 자체계약직  ● 근무조건 - 업무내용 : 전처리, 조리, 배식, 등 업무 - 근무요일 : 주5일 스케줄 근무 (협의가능) - 근무시간 : 07:00-16:00 (휴게 1시간) - 급여조건 : 시급 13,000원+지원금 30만원  ★ 설악터미널 셔틀 이용 가능   ● 지원조건  - 연령무관, 유사업무 경험 우대, 인근 거주자 및 자차 소유자 우대  ●복리후생 - 국민연금, 고용보험, 산재보험, 건강보험, 연차, 퇴직금, 각종 경조금, 경조휴가제, 연장근로수당, 휴일근로수당, 근무복 지급, 식사 제공","면접","고용24,기타(문자, 전화지원)","이력서","","","평일 : 직무내용 참고, 주 5일 근무"
"시현푸드","제조업 생산직","(16672)  경기도 수원시 권선구 곡반정로 37 (곡반정동)","16672 경기도 수원시 권선구 곡반정로 37 (곡반정동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (오전) 8시 00분~(오후) 5시 30분 * 휴계시간  * 점심시간: 12:00~13:00 * 휴게시간: 10:00~10:15, 15:00~15:15, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","정육 가공원 및 도축원(872100)","가금류 도축업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","닭고기 발골 및 해체","서류,면접","고용24,이메일","이력서","","031-222-3276","평일 : (오전) 8시 00분~(오후) 5시 30분 * 휴계시간  * 점심시간: 12:00~13:00 * 휴게시간: 10:00~10:15, 15:00~15:15, 주 5일 근무"
"고척성원아파트","[고척1동] 아파트 경비원 모집","(08222)  서울특별시 구로구 경인로47가길 10, 고척1동  성원아파트 관리사무소 (고척동, 성원아파트)","08222 서울특별시 구로구 경인로47가길 10, . (고척동, 성원APT)","시급10,320원 이상 ~ 10,320원 이하,","평일 : -근무시간: 06시~익일 06시 / 격일제 , 주 4일 근무","기간의 정함이 있는 근로계약12 개월/ 파견근로 비희망/ 대체인력채용 비희망","아파트·빌라 경비원(542001)","주거용 부동산 관리업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","[고척1동] 성원아파트 (1동짜리 74 세대)  -아파트 경비원 모집/경비,순찰등 일반적인 경비업무 -월급여: 178만원 -근무시간: 06시~익일 06시 / 격일제  -휴게시간: 12시간40분               (07시30~09시/12시~14시/17시~19시/22시~05시10분) -경력1년 이상자 우대/ 신임경비 교육 이수자 필수","서류,면접","방문,기타(이력서,이수증 사진찍어 문자지원 010-8864-5527)","이력서,기타(신임경비교육 이수증)","","02-2682-4656","평일 : -근무시간: 06시~익일 06시 / 격일제 , 주 4일 근무"
"효자매노인재가센터","4등급 80대 여자어르신 요양보호사구인합니다","(14977)  경기도 시흥시 관곡지로 222, 317동 (하상동, 연꽃마을 대우.삼호아파트)","14988 경기도 시흥시 목감남서로 9-19, 502호,603호,604호 (조남동)","시급10,320원 이상,","평일 : (근무시간) (오후) 5시 00분 ~ (오후) 8시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","4등급 80대  여자어르신 요양보호사 구인합니다 청결한 환경 관리도움과 식사준비 필요합니다 시급: 13,700원(기본시급10,320원+그외수당포함)","기타(전화)","기타(전화)","기타(전화)","","031-402-1771","평일 : (근무시간) (오후) 5시 00분 ~ (오후) 8시 00분, 주 3일 근무"
"단비방문요양센터","요양보호사 모집","(13638)  경기도 성남시 분당구 구미로 16, 성우스타우스 (구미동)","17077 경기도 용인시 기흥구 중부대로 818, (상하동, 인정프린스아파트상가) (상하동, 인정프린스아파트)","시급10,320원 이상 ~ 10,320원 이하, 면접 후 재조정 가능","평일 : (근무시간) (오후) 3시 00분 ~ (오후) 6시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-10-01","","2등급 독거 남자 어르신 저녁 식사 챙겨 드리고(주변에서 원하시느거 사다가 드림) 정서적인 지원 필요함. 산책 도움 필요함. 일상생활도움.  *평소 좋은 일 하시다가 뇌경색으로 힘들었으나   현재는 호전되어 보장구 활용하여 화장실 이용 가능함. *중증수당별도","면접","방문,팩스,고용24","이력서","","031-286-1339","평일 : (근무시간) (오후) 3시 00분 ~ (오후) 6시 00분, 주 5일 근무"
"대영관리주식회사","(인덕원역/ 일7시간/ 소방1급)주상복합 영선주임...","(13951)  경기도 안양시 동안구 흥안대로 527, . (관양동)","13944 경기도 안양시 동안구 관악대로 272, 키즈맘센터 520호 (비산동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : 주5일 ( 09:00~ 17:00), 주 5일 근무","기간의 정함이 있는 근로계약3 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망","건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외)(702901)","사업시설 유지？관리 서비스업","경력","학력무관","","26-08-05","채용시까지  26-10-04","","- 건물내 시설관리및 영선업무등 - 1급 소방안전관리자 선임 (필수) - 주5일 ( 09:00~ 17:00)  - 급여 : 2,103,000원 (연차수당포함)  *지원방법 : 팩스지원 031-388-8332 이력서 상단 기재 - 인덕원역 스타타워 시설주임 지원] *메일지원가능 : deyoungm11@naver.com [메일 제목에 기재 :  인덕원역 스타타워 시설주임 지원]               팩스로 지원하실 경우에는 이력서 상단에 공고 제목 기재 필수로 해주셔야 합니다            *문의전화의 경우 통화량이 많아 통화가 어려우실수 있으니 문의전화는 양해 부탁드립니다.             감사합니다.","서류,면접","팩스,고용24,이메일,기타(이메일: deyoungm11@naver.com 팩스 :031-388-8332)","이력서,자기소개서","","031-344-6214","평일 : 주5일 ( 09:00~ 17:00), 주 5일 근무"
"（주）덕우","[의정부역 진산&amp;월드메르디앙] 미화원 구인","(11700)  경기도 의정부시 경의로118번길 32, 관리사무소 (의정부동, 의정부역 진산&월드메르디앙)","11703 경기도 의정부시 평화로400번길 4, 호정빌딩 301호 (호원동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 3시 00분, 주 5일 근무","기간의 정함이 있는 근로계약3 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)(561101)","주거용 부동산 관리업","경력","학력무관","","26-08-05","채용시까지  26-10-04","","의정부역 진산&월드메르디앙 미화원 구인합니다  - 근무시간 : 월~금 08시~15시 (휴게시간1시간30분)   - 지원방법 :  팩스(031-875-4191, 이력서 상단에 ""진산월드지원"" 기재 필수) or 고용24 지원  - 이력서 검토 후, 면접대상자에 한해 연락드리겠습니다.","서류,면접","팩스,고용24","이력서","","031-875-4194","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 3시 00분, 주 5일 근무"
"주식회사 카즈머스","커넥터 자동조립기 오퍼레이터 모집","(15847)  경기도 군포시 산본로86번안길 23, (공장)군포시 산본로86번안길 23(당정동) 3층 (당정동)","16072 경기도 의왕시 오전공업길 19, (공장)군포시 산본로86번안길 23(당정동) 3층 (오전동, 대현테크노월드)","시급10,320원 이상 ~ 11,500원 이하, 면접 후 재조정 가능","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","전기 부품 및 제품 제조 기계 조작원(835100)","그 외 기타 전자부품 제조업","경력","학력무관","","26-08-05","채용시까지  26-10-04","","- 담당업무 :  커넥터 자동 조립기 조작/관리/운전","서류,면접","이메일,기타(이메일 oh7420@cosm.co.kr)","이력서","","031-454-6582","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무"
"두레재가노인복지센터","부평2동행정복지센터 인근 (e편한세상부평역센트럴파...","(21409)  인천광역시 부평구 부영로 35, 부평2동행정복지센터 인근 아파트 (부평동, e편한세상부평역센트럴파크)","21370 인천광역시 부평구 마장로 263, 301호 두레재가노인복지센터 (산곡동, 삼성빌딩)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","* 부평2동행정복지센터 인근 (e편한세상부평역센트럴파크) 아파트 재가요양보호사 구인 * 월~금 (주 5일) 오후12시00분~15시00분 * 가사활동, 식사도움, 일상생활 도움 * 3등급 어르신 * 시급 13,000원 (10,030원+제수당).","기타(전화 연락)","기타(전화 연락)","기타(요양보호사 자격증 사본, 건강검진)","","032-501-9155","평일 : (근무시간) (정오) 12시 00분 ~ (오후) 3시 00분, 주 5일 근무"
"가장조은노인요양복지센터","[후암동/2등급] 재가요양보호사 구인","(04326)  서울특별시 용산구 소월로2다길 3-9, . (후암동)","02840 서울특별시 성북구 북악산로 906, 일류타워맨션 209호 (돈암동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","[후암동] 2등급 할머니 재가요양보호  - 직무내용: 신체활동지원, 일상생활지원, 정서지원 등  - 장기요양급여 적용 근로시간: 1일 4시간   - 주5일 근무 / 근무시간 : 월~금 10:00~14:00  -시급: 13,100원 (시급 10,320원 + 주휴수당, 연차수당 기타 제수당 포함)","면접","방문,기타(통화 후 면접)","기타(요양보호사 자격증)","","02-925-4673","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 5일 근무"
"쓰마일방문요양센터","[매탄3동] 오전재가요양보호사 구인","(16548)  경기도 수원시 영통구 동탄원천로915번길 33, 4단지 (매탄동, 주공그린빌)","16537 경기도 수원시 영통구 인계로 219, 삼성아파트상가 132-1호 (매탄동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","신입","학력무관","","26-08-05","채용시까지  26-10-04","","■ 2등급 암환자 할머니 오전케어/거동가능/남편분 계심 ■ 주업무:가사지원, 정서 지원, 일상 생활 지원, 말벗 등 ■ 근무시간: 주 6일/09:00~13:00 ■ 시급: 10,320원+주휴수당+연차수당+기타수당=총 13,500원 ■전화 문의 후 지원: ☎. 010-4763-9594, 031-217-9594  ☞ 요양보호사자격증, 건강검진결과지 필히 지참","면접","방문,팩스","이력서,기타(자격증 사본, 건강검진결과지)","","031-217-9594","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 6일 근무"
"새소망전국노인복지센터","[오남]4등급 할머니 재가 요양보호사 모집","(12050)  경기도 남양주시 오남읍 진건오남로 516-53, . (신일해피트리아파트)","12050 경기도 남양주시 오남읍 진건오남로 472","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","4등급  할머니 재가 요양보호사 모집 - 주3일(월,수,금) / 14:00~17:00 - 시급 13,000원(시급 10,320원+주휴수당 등) - 일상생활 도움, 목욕x, 식사 - 문의 : 010-2280-5774","서류,면접","방문,우편,팩스,고용24","이력서,기타(요양보호사 자격증, 건강검진표)","","031-574-8842","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무"
